@relation cleaned_global_dataflow

@attribute Year numeric
@attribute Under-five_mortality_rate numeric
@attribute Under-five_deaths numeric
@attribute BMI-for-age_<-3_SD numeric
@attribute BMI-for-age_>+3_SD numeric
@attribute Height-for-age_<-3_SD_(Severe_Stunting) numeric
@attribute Height-for-age_>+3_SD numeric
@attribute Weight-for-age_(>+3_SD) numeric
@attribute Weight-for-height_<-3_SD_(severe_wasting) numeric

@data
2018,65.7521046783529,87019,1.6,1.7,19.4,1.2,0.6,1.6
2013,78.1599775992064,93805,3.9,2.7,20.4,1.6,0.5,4.0
2004,114.038248221243,118750,3.1,2.3,31.8,1.4251362509203154,0.4655980921743641,3.8
2017,9.33376971385625,301,0.7,5.8,3.9,2.0,1.4,0.5
2009,14.4777714527134,512,6.9,9.4,14.6,7.3,3.1,5.9
2005,19.9649923845965,846,3.3,12.4,11.5,2.8,1.3,3.7
2019,23.4606395519407,23465,1.4,3.4,3.4,1.7,0.7,1.3
2012,26.5010191227255,24180,1.7,3.9,4.1,1.8,0.7,1.4
2006,32.3469813082802,22704,1.8,4.8,5.2,1.9,1.0,1.7
2002,38.5394664221657,23368,5.3,7.1,11.2,3.4,1.2,5.0
2000,41.6964983069482,25058,1.1,5.5,8.1,1.4,0.6,1.1
1995,48.0285718878931,35309,4.7,5.7,10.3,1.4,0.4,4.2
2015,87.880854350024,99702,1.1,0.9,15.2,1.0,0.4,1.1
1996,218.898435036635,145847,1.5,0.4,34.9,1.1,0.4,1.8
2018,10.6449945337162,7428,0.5,3.6,2.7,1.2,1.7,0.5
2005,16.7328161932342,11908,0.3,2.6,1.5,0.8,1.3,0.4
2016,13.7673464286178,580,2.0,4.5,3.8,4.1,2.1,1.7
2010,18.5746203016201,768,2.4,7.0,9.8,2.0,0.9,2.0
2005,23.8478552090319,941,4.5,2.6,4.9,5.6,0.3,2.6
2000,30.5911107579994,1286,0.8,4.5,5.0,1.4,1.0,0.7
1998,33.7002058277248,1612,1.5,4.1,6.3,4.5,1.1,1.0
2007,5.4156889739735,1491,0.0,2.0,0.3,0.3,1.3,0.0
2013,30.5338041115511,5832,1.2,6.2,7.7,1.4,1.2,1.1
2006,48.7847502657589,7364,2.3,6.6,13.4,1.6,0.7,2.2
2000,74.5326449048187,10711,3.9,2.3,10.3,2.2,1.1,4.1
2019,32.2193301006509,97239,2.1,1.1,8.8,0.7,0.2,2.093471165229735
2018,33.6066670159177,100835,1.4,0.7,8.9,0.5,0.2,1.5
2014,40.4013582311463,123383,2.8,0.6,11.8,0.4,0.1,3.2
2013,42.360568488775,130109,1.6,0.6,8.085882897370823,0.4,0.1,1.641546656943553
2011,46.6943755152417,147617,3.3,0.8,15.4,0.7,0.2,3.323720583156504
2007,57.6624722221611,202321,2.5,0.5,16.2,0.3,0.2,2.9
2004,68.1721805823691,251602,2.9,0.4,22.1,0.2,0.1,3.5
2000,85.9611033125173,315980,2.5,0.4,23.6,0.6,0.1,2.5
1997,102.612655860993,368054,6.0,1.2,33.4,0.7,0.1,6.8
2012,14.0584296884403,46,1.8,4.1,3.1,7.5,5.5,2.0
2005,8.733098519158,828,1.1,2.5,1.2,1.5,0.9,0.6
2014,4.15472799761147,516,0.0,1.9,0.4,0.0,0.3,0.0
2015,15.6664212067716,121,0.5,2.6,2.6,0.5,1.4,0.5
2011,18.2405542222621,133,1.6,3.2,5.4,0.8,1.5,1.2
2006,20.424716168883,150,0.8,5.0,7.1,3.6,4.5,0.8
2018,90.7154724658278,39907,0.9,0.4,10.9,0.4,0.1,1.1
2014,99.6344227402698,39516,0.9,0.3,12.1,0.3,0.1,0.9
2008,113.369333068739,38822,0.9,0.5,13.5,0.4,0.2,1.1
2001,133.069819761118,38115,3.0,1.0,14.5,1.1,0.2,3.1
1996,149.453293919735,38855,6.5,0.8,12.4,1.1,0.2,5.4
2010,40.2121750935811,558,1.9,3.8,13.3,1.1,0.4,2.0
2008,46.2597965041772,659,2.0,1.7,12.0,1.3,0.3,1.4
1999,83.1563159117293,1293,0.9,1.1,19.5,0.3,0.1,0.8
2016,30.4187216378943,7978,0.9,3.0,4.3,0.9,0.8,0.9
2012,37.511379582991,9833,0.5,1.4,4.1,0.3,0.4,0.5
2008,47.2568909016346,12280,0.5,2.1,7.9,0.5,0.5,0.5
2003,63.5647323268757,16080,0.6,2.6,11.3,0.6,0.6,0.6
1998,84.7314972418737,21332,0.6,3.4,13.1,0.7,0.8,0.7
2012,6.48331969947074,222,1.0,6.2,3.8,3.5,2.6,1.6
2006,7.24201977189624,283,1.9,12.0,5.7,4.2,2.9,1.5
2000,9.68274013427054,417,3.6,5.7,4.6,5.0,1.5,3.5
2007,63.9689237751778,3484,3.1,3.9,12.6,1.7,1.0,3.0
2000,77.7662259788989,3751,2.4,4.1,11.6,1.2,0.7,2.7
2019,14.7841460300399,43247,0.8,3.2,2.0,0.9,1.7,0.7
2007,21.7857879742188,68676,0.6,1.2,1.3,0.5,0.8,0.4
1996,44.9304507179927,162440,1.0,1.6,3.9,1.6,1.0,1.0
2009,9.58808487521537,62,0.7,3.3,4.8,1.4743892552751618,1.1347837693635352,0.4
2014,8.67597881786424,604,3.2,5.1,5.1,0.6,1.5130977996249069,2.2
2007,11.8892458797468,913,1.8,1.8,2.6,2.2,0.4,1.1
2004,14.1897211339361,1008,1.3,4.2,3.9,3.6,0.6,1.5
2020,84.2622430765284,64112,0.9,0.3,6.2,1.2,0.0,0.7
2019,87.2744635531085,65817,1.1,0.4,6.9,0.6,0.1,1.0
2018,90.282572243559,67453,1.5,0.2,6.9,0.5,0.0,1.7
2017,93.5707921756403,69425,1.9,0.5,5.5,1.2,0.3,1.9
2016,96.8681622233669,71500,1.3,0.2,7.2,0.3,0.1,1.4
2015,100.412973372928,73458,1.7,0.2,9.2,0.2,0.0,2.1
2014,104.033880113709,75095,1.4,0.2,8.3,0.3,0.0,1.7
2013,107.80219104673,76537,1.5,0.1,9.1,0.2,0.0,1.6
2012,111.927380885503,77935,1.6,0.1,10.4,0.2,0.0,1.8
2011,116.317634862595,79269,1.7,0.2,12.2,0.1,0.1,2.2
1999,181.65002766702,90343,5.1,0.7,19.9,1.4,0.2,5.6
2020,54.2284564788149,23313,0.8,0.1,21.0,0.1,0.0,0.9
2019,56.32865587143,24066,1.0,0.5,24.6,0.7,0.1,1.0
2018,58.5842222290752,25001,0.7,0.3,25.1,0.2,0.1,0.8
2016,64.0082172846989,27959,0.6,0.3,25.0,0.1,0.0,0.9
2010,90.6695146787555,35802,1.4,1.2,27.1,0.4,0.0,1.4
2000,153.948961448349,39743,1.5,0.6,34.6,0.3,0.0,1.6
2021,24.5544319719873,7946,2.4,1.3,5.8,1.2,0.2,2.4
2014,33.2603394065393,11449,2.1,0.9,9.1,0.9,0.3,2.5
2010,43.8417485704507,14834,2.5,0.6,13.6,0.9,0.0,2.7
2008,51.3666719636117,17347,1.6,0.6,15.3,0.5,0.1,1.9
2005,64.7367666704821,21319,1.4,0.7,17.0,0.2,0.1,1.8
2000,105.941500003718,35966,7.0,2.2,25.2,2.1,0.2,7.5
1996,119.871218270399,46504,3.4,3.4,33.4,1.1,0.1,4.5
2018,79.7868787102397,71307,1.6,4.2,13.5,1.7,0.6,1.6
2014,93.4346357145972,76267,1.2,1.5,12.9,1.3,0.5,1.3
2011,106.320626219562,82729,1.8,2.0,14.5,1.9,0.7,2.0
2006,124.781636103139,86603,2.5,3.8,17.7,1.6,0.6,2.6
2004,131.265000761262,86407,2.5,3.1,16.7,1.6,0.6,2.3
1998,148.306572988483,83890,2.4,2.8,15.9,1.6,0.6,2.1
2018,108.020281426355,22399,1.3,0.0,14.7,0.0,0.0,1.6
2014,117.678603563718,23866,1.2,0.2,15.1,0.2,0.0,1.3
2012,122.44195730009,24709,1.4,0.3,17.1,0.7,0.1,1.6
2010,128.77823351918,24974,1.7,0.3,18.3,0.4,0.1,1.9
2006,144.312108572058,25476,4.3,4.0,25.1,2.9,0.9,5.0
2000,165.200891599568,25680,4.8,4.9,23.9,2.6,0.5,4.7
2021,106.382167728212,75991,1.7,0.3,12.7,0.4,0.1,1.8
2020,109.844924369122,76731,1.9,0.6,12.3,0.7,0.1,2.1
2017,121.241203017753,78985,3.3,0.7,12.0,0.4,0.1,3.6
2015,128.596546083022,80732,3.9,0.9,21.9,2.0,0.5,4.4
2010,147.580112243426,80921,4.8,0.9,20.9,2.4,0.6,6.3
2004,170.432427814859,76427,5.9,1.6,26.4,2.7,0.4,6.5
2000,184.112321362162,73720,3.6,0.8,20.1,1.3,0.4,4.2
1997,193.477940025972,70727,4.9,0.9,24.5,1.6,0.4,6.1
2010,15.7380924374887,280609,0.7,1.8,2.6,0.9221361276120099,0.7581220853357031,0.7
2005,24.0121515887264,395997,0.8,1.6,3.4,0.8225095514684639,0.6488666118936663,0.8
2002,31.4983606741523,517403,0.9,3.6,8.0,1.3749259681817834,1.0617326945783407,0.8
2000,36.7239715191085,626362,0.5,0.8,5.3,0.3784794289968577,0.3911339554460245,0.5
1998,41.4179226465567,721193,0.7,1.4,5.8,0.5652682188561062,0.49328100454415313,0.6
1995,47.5107641867695,927395,1.7,6.2,14.7,2.1829165485696382,1.5293439340816306,1.8
2016,15.0953297910427,11059,0.5,1.2,2.9,0.6,0.4,0.4
2010,18.3577297357712,14020,0.2,1.0,2.6,0.1,0.3,0.2
2005,21.5147047013122,17687,0.3,0.9,3.3,0.2,0.3,0.4
2000,25.0843845267744,21827,0.4,1.1,4.2,0.1,0.4,0.4
1995,29.8924601979205,26781,0.6,0.7,5.1,0.2,0.2,0.5
2012,68.0701658292076,1525,4.7,5.6,16.2,4.1,2.1,4.5
2000,96.393757168977,1834,7.0,11.0,29.4,3.5,3.2,7.2
1996,105.685422790882,1951,4.6,2.3,17.9,1.2,0.4,3.7
2014,54.6169761127689,9533,3.0,2.5,8.2,4.5,2.5,2.6
2011,59.9679959102239,10034,1.8,1.0,8.1,1.2,0.2,1.7
2005,86.1524914762575,11171,2.8,3.5,15.3,2.8,0.6,3.0
2018,8.45319834889433,584,0.2,2.5,0.9,0.1,1.0,0.1
2016,83.8387445284376,71235,1.2,0.2,6.8,1.0,0.1,1.2
2012,96.119166359596,78723,2.2,1.3,12.4,1.5,0.3,1.8
2007,114.368195406897,89783,4.3,2.3,18.0,1.778406150987657,0.4496373637455129,5.7
1998,146.926786137192,99032,1.5,1.8,12.6,0.8,0.3,1.9
2019,6.87664750713611,790,0.6,2.2,0.4,0.6,1.2,0.6
2001,5.18240051963432,471,0.7,0.8,0.6,1.7,0.5,1.0
2002,99.5975558531125,39703,3.4,0.2,18.3,0.1,0.0,3.5
2017,89.5488441109508,313252,1.8,1.2,20.8,1.6,0.3,2.0
2013,102.069058163113,317766,3.0,1.9,22.6,1.8,0.3,2.9
2010,113.687123716797,320103,2.7,1.9,22.2,2.1,0.6,2.8
2007,126.773836457036,322521,4.2,4.5,25.1,2.9,0.8,4.8
2001,154.570166005682,332168,5.9,3.0,25.2,2.5,0.4,6.1
2019,57.2757713458947,1382,2.1,0.5,6.0,0.3,0.2,2.7
2013,69.3738118381894,1645,3.8,0.0,7.5,0.0,0.0,3.4
2011,73.6714927501204,1751,1.3,0.0,10.4,0.0,0.0,1.3
2019,34.4168124298993,7266,0.5,2.6,1.6,0.9,1.6,0.5
2013,35.0093098779255,7506,0.4,2.1,2.1,1.4,1.1,0.8
2007,35.6153883992879,7255,0.8,2.1,2.5,1.7,1.5,0.9
2006,35.8996606149186,7349,0.4,1.5,2.0,2.2,1.6,0.4
2002,37.9894641319016,7970,0.8,2.4,3.8,1.4,1.2,0.8
2000,39.8353632970087,8403,0.5,1.5,2.1,0.8,0.8,0.5
1996,45.8635353094601,9968,0.5,2.0,4.0,0.7,1.0,0.6
2019,13.4721641753573,4032,1.5,4.8,7.7,1.6,1.8,1.4
2014,15.8933304415455,4982,0.5,2.5,6.3,0.4,0.7,0.6
2012,17.2597064346737,5643,0.8,2.3,6.6,0.6,1.1,0.7
2006,22.492656979241,7181,0.6,1.4,6.4,0.1,0.3,0.5
2004,24.3711644473693,7768,0.7,1.4,8.5,0.6,0.4,0.7
1999,31.2538156128179,10030,0.5,0.9,6.9,0.8,0.5,0.4
2014,24.1895920393258,63927,5.3,7.1,10.8,7.2,1.9,4.8
2008,31.3025133652069,67124,4.2,9.7,16.1,4.3,1.6,3.8
2005,35.8087303595751,72103,2.6,5.6,10.3,3.6,1.8,2.5
2003,39.4393690932932,77472,2.1,4.0,8.2,1.6,0.6,1.8
1995,64.5564174807697,119747,2.2,6.3,17.7,1.3,0.6,2.3
2014,15.955925241855,1874,0.4,2.2,2.7,0.2,0.8,0.4
2008,21.2392504133277,2603,0.5,1.4,4.9,0.3,0.5,0.5
2003,27.8118146937536,4092,0.4,1.5,6.3,0.1,0.4,0.3
1998,37.1195565238471,6437,0.4,0.9,9.8,0.1,0.2,0.4
2004,138.11419769104,4243,1.4,2.5,13.7,0.9378339413429453,0.48640895836556197,1.3
2000,155.386310175304,4141,3.7,6.5,23.2,2.7,1.3,4.2
1997,166.144564064456,4086,1.7,2.4,19.6,0.8831122786589176,0.3261111178715801,2.5
2010,55.2071556869844,5809,3.5,1.1,27.3,0.6,0.2,4.0
2002,77.4786707255329,7071,4.0,0.7,19.9,0.9,0.2,4.8
1995,114.711405523281,9637,6.7,0.3,22.6,1.1,0.1,5.8
2014,3.35506996026381,46,0.3,1.0,0.4,1.1,0.8,0.0
2014,67.1880712822407,2168,0.6,2.1,7.3,0.4,0.7,0.4
2010,88.151155979841,2949,0.2,2.7,10.0,0.3,0.5,0.4
2006,110.264245363412,3674,1.3,3.3,10.6,1.2,0.8,1.2
2000,114.087909682562,3737,0.6,4.7,15.1,1.4,1.0,0.7
2019,52.0673596387572,189597,1.0,0.7,12.3,0.7,0.2,1.1
2016,59.8782039734925,203545,3.1,1.2,17.5,1.5,0.2,3.0
2014,66.4579820321399,218027,2.3,1.3,18.9,1.9,0.7,2.7
2011,78.0511973721017,252330,2.5,0.8,21.0,1.1,0.3,2.9
2005,109.476667701315,338122,4.2,2.3,28.1,2.0,0.3,4.7
2000,141.179617230674,406947,3.1,0.7,31.8,0.6,0.1,3.8
2021,27.7190634773694,502,1.3,3.1,3.3,1.6,1.6,1.1
2004,23.0403517797942,479,2.4,1.9,2.8,5.6,1.2,1.8
2012,56.947833200839,3264,1.6,2.5,6.0,1.5,1.4,1.3
2000,84.3629225763423,3465,1.3,1.7,8.8,2.0,0.9,1.5
2020,48.9272039854192,4191,0.8,0.2,3.5,0.0,0.1,0.6
2013,64.5984573285175,5264,4.2,1.6,8.7,2.1,0.2,4.3
2012,67.3501873087339,5392,1.4,0.2,4.8,0.5,0.1,1.6
2006,87.2780492172198,6007,2.0,0.9,10.6,1.0,0.3,1.8
2000,113.094868144151,6729,2.1,1.2,8.4,2.1,0.2,2.5
2018,9.84196026228884,546,0.1,0.9,1.3,1.4,0.7,0.1
2009,15.532651058979,855,0.4,7.0,5.0,1.7,2.0,0.3
2005,23.5096673906799,1153,1.6,9.2,7.7,4.1,2.6,1.1
2016,3.89540364967379,2931,0.0,0.2,0.0,0.6,0.5,0.0
2004,4.84999998609329,3390,0.1,0.6,0.2,0.7,0.5,0.1
2017,50.8605440813179,45098,1.2,0.3,4.8,0.6,0.1,1.1
2014,57.7242304494858,50850,0.7,0.7,5.0,0.6,0.2,0.7
2011,66.506405425965,55494,1.3,0.9,6.8,0.6,0.1,1.4
2008,75.941224552707,59743,2.7,2.6,10.5,2.2,1.2,2.4
2006,81.1001209063583,62194,1.7,0.6,9.9,0.9,0.2,1.8
2003,88.8563936848466,63914,2.8,1.9,14.1,0.9,0.4,2.8
1998,107.383003651427,68654,2.4,1.0,12.7,0.6,0.3,2.5
